,Video Title,Video URL,Published Date,Channel Title,Comment,Comment Author,Comment Published,Like Count (Comment)
0,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,The purpose of this channel is money. 😂😂😂😂😂,@Somewhere-In-AZ,2025-05-31T18:35:57Z,0
1,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"Great, more math requirements.",@Mrs.Jekyll,2025-05-31T17:26:08Z,0
2,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Inaccurate information again,@yendor6X5X6,2025-05-31T16:02:01Z,0
3,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,The very last thing id measure with my feet is the height of an airplane.... Just say 10km!,@NiekNooijens,2025-05-31T15:30:22Z,0
4,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Private planes fly even higher. At the low end like a Falcon 6 ot 7 will fly around 38000-40000. The G400/500600/700s will go 42000-44000 feet. About 10000 feet higher than commercial.  My boss just got a new private plane and I'm eager to head to Europe with him in a few weeks. His last plane was incredible to cross the couny in. Far faster than commercial travel.,@BobSmith-zq6gz,2025-05-31T14:48:34Z,1
5,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"In other words, it's more efficient and more comfortable.",@TheAlienPoison,2025-05-31T07:27:43Z,0
6,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,But wouldn't less air mean less oxygen to burn fuel in the turbine engine?,@padmanabhmayekar9199,2025-05-31T06:33:30Z,0
7,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,❤,@michaelsheehan5563,2025-05-31T06:16:35Z,0
8,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Ok… lets them fly low enough so you all will start to complain again…. Serious!? You want them to fly low…?,@ClosestNearUtopia,2025-05-31T05:53:09Z,0
9,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"The reason isn't money, the reason is increased engineering efficiency. The lower cost is only part of it.",@nuyabuisness7526,2025-05-31T05:37:07Z,0
10,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,How is 33000 feet equal to 10km? You Americans are weird man.,@Lord_OTD,2025-05-31T04:33:54Z,0
11,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"If there were something that was depleting the ozone layer, it would be the fact that planes are burning the oxygen up near the ozone layer.",@davidscott5903,2025-05-31T04:09:30Z,0
12,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,PLEASE try to speak with more regular prosody—the constantly interrupted cadence is SUPER distracting,@KenJessberger,2025-05-31T03:15:18Z,0
13,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,The best flight I ever had was high and fast! I wish they would all do this!!,@ohmyet2173,2025-05-31T02:45:23Z,0
14,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Is this 3rd grade?,@Chronic2112,2025-05-31T01:49:46Z,0
15,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Turbofan engines get most of their thrust from the bypass air,@DevilDolphin734,2025-05-31T01:07:53Z,0
16,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"""the answer is money""  Except its actually just efficiency",@tortuga8470,2025-05-31T00:45:42Z,0
17,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"Meaning, if it were cheaper to fly you through storms, that's exactly what the companies would do.",@ambiv5995,2025-05-30T23:05:55Z,0
18,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"Normally not only drag is reduced but also lift, so the equation is a little more complex i think",@yassine-sa,2025-05-30T22:18:50Z,0
19,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Why isn't it quicker flying one way than the other. If the world is a sphere spinning on its own axis at around 630mph surely its quicker going one way than the other.,@Michael-q9g5e,2025-05-30T17:25:59Z,0
20,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Looks like musk,@antoniopetrone5336,2025-05-30T12:38:26Z,0
21,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"The troposphere bit is mostly true, and its not worth saying in the video, but it fluctuates in altitude. We live in the troposphere, then there the tropopause, then there's the stratosphere. Around the poles, the tropopause can be as more as like 25000ft while at the equator it can be closer to 60000ft",@fmifu4100,2025-05-30T07:19:36Z,0
22,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"The troposphere bit is mostly true, and its not worth saying in the video, but it fluctuates in altitude. We live in the troposphere, then there the tropopause, then there's the stratosphere. Around the poles, the tropopause can be as more as like 25000ft while at the equator it can be closer to 60000ft",@fmifu4100,2025-05-30T07:19:20Z,0
23,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,mmmm. 🤔 So in order to solve drag / air resistance issues on sport cars...,@jeanmclean6703,2025-05-30T06:59:04Z,0
24,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Less air resistance was my immediate guess.,@ChairmanMeow1,2025-05-30T04:35:46Z,0
25,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,Efficiency is the proper term,@MindsetAlchemy,2025-05-30T01:46:20Z,0
26,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,But higher altitude = less oxygen density. Meaning engines don't get enough oxygen to combust and produce enough thrust? Correct me if I'm wrong.,@Inconsistent_Uploader,2025-05-29T19:22:10Z,0
